Book ID,Title,Sort Character,Primary Author,Primary Author Role,Secondary Author,Secondary Author Role,Publication,Date,Review,Rating,Comment,Private Comment,Summary,Media,Physical Description,Weight,Height,Thickness,Length,Dimensions,Page Count,LCCN,Acquired,Date Started,Date Read,Barcode,BCID,Tags,Collections,Languages,Original Languages,LC Classification,ISBN,ISBNs,Subjects,Dewey Decimal,Dewey Wording,Other Call Number,Copies,Source,Entry Date,From Where,OCLC,Work id,Lending Patron,Lending Status,Lending Start,Lending End
123221313,Systematic Theology: An Introduction to Biblical Doctrine,1,"Grudem, Wayne",Author,,,"Zondervan (1995), 1264 pages",1994,,,,,Systematic Theology: An Introduction to Biblical Doctrine by Wayne Grudem (1994),Hardcover,1264 p.; 7.64 inches,4.08 pounds,7.64 inches,9.61 inches,2.24 inches,7.64 x 2.24 x 9.61 inches,1264 ,,,,,,,Christianity,Your library,English,English,BT75.2 .G78,[0310286700],"[0310286700, 9780310286707]","Bible > Theology|Christianity Theology|Theology, Doctrinal",230.046,Christianity > Christianity > Doctrinal Dogmatics - Theology > Religion ,,1,amazon.com books,2015-11-10,,,2686200,,,,
123221459,The Kingdom of the Cults,5,"Martin, Walter",Author,"Zacharias, Ravi",Editor,"Bethany House Publishers (2003), Edition: Rev Upd, 704 pages",2003,,,,,The Kingdom of the Cults by Walter Martin (2003),Hardcover,704 p.; 6.5 x 2 inches,2.41 pounds,2 inches,9.5 inches,6.5 inches,2 x 6.5 x 9.5 inches,704 ,,,,,,,"Christianity, Cults",Your library,English,English,BL80.2 .M289,[0764228218],"[0764228218, 9780764228216]",Apologetics|Cults > United States|Sects > United States|United States > Religion > 1960-,291.9,Comparative Religion; Mythology (No Longer Used) > New Religious Movements > Other Religions > Religion ,,1,amazon.com books,2015-11-10,,,53092,,,,
123221527,"Christianity & Western Thought, Volume 1: From the Ancient World to the Age of Enlightenment",1,"Brown, Colin",Author,,,"IVP Academic (1990), Edition: First Edition, 447 pages",1990,,,,,"Christianity & Western Thought, Volume 1: From the Ancient World to the Age of Enlightenment by Colin Brown (1990)",Hardcover,447 p.; 9.28 inches,1.9 pounds,9.28 inches,1.53 inches,6.39 inches,9.28 x 6.39 x 1.53 inches,447 ,,,,,,,"Christianity, Philosophy, History",Your library,English,English,BR100 .B6483,[0830817522],"[0830817522, 9780830817528]",Christianity > Philosophy|Faith and reason > History of doctrines|Philosophy > History|Philosophy > history,230,Christianity > Christianity > Religion ,,1,amazon.com books,2015-11-10,,,184878,,,,
123221600,A Reasonable God: Engaging the New Face of Atheism,3,"Ganssle, Gregory",Author,,,"Baylor University Press (2009), 165 pages",2009,,,,,A Reasonable God: Engaging the New Face of Atheism by Gregory Ganssle (2009),Paperback,165 p.; 5.98 inches,0.79 pounds,5.98 inches,9.02 inches,0.46 inches,5.98 x 0.46 x 9.02 inches,165 ,,,,,,,"Christianity, apologetics, atheism, new atheism",Your library,English,English,BL2747.3 .G36,[1602582416],"[1602582416, 9781602582415]",,212.1,Existence/Nonexistence of God > God Qua God > Religion  > Theory,,1,amazon.com books,2015-11-10,,,9263093,,,,
123221741,"The Importance of Living, a John Day Book",5,"Lin, Yutang",Author,,,"Reynal & Hitchcock (1938), Edition: 8th Printing, 459 pages",1938,,,,,"The Importance of Living, a John Day Book by Yutang Lin (1938)",Hardcover,459 p.; 8.5 inches,1.5 pounds,8.5 inches,1.7 inches,5.8 inches,8.5 x 5.8 x 1.7 inches,459 ,,,,,,,"philosophy, life, living",Your library,English,English,BD431 .L42,,,Life|life,128,Philosophy Of Humanity > Philosophy and Psychology > The Human Condition,,1,amazon.com books,2015-11-10,,,125545,,,,
123221901,Fast Facts on False Teachings,1,"Carlson, Ron",Author,,,"Harvest House Publishers (1996), Edition: 6th, 255 pages",1996,,,,,Fast Facts on False Teachings by Ron Carlson (1996),Paperback,255 p.; 8.3 inches,0.61 pounds,8.3 inches,0.7 inches,5.4 inches,8.3 x 5.4 x 0.7 inches,255 ,,,,,,,"Christianity, cults, apologetics",Your library,English,English,BP603 .C36,[1565071689],"[1565071689, 9781565071681]",Christian sects|Christianity and other religions|Cults,291.9,Comparative Religion; Mythology (No Longer Used) > New Religious Movements > Other Religions > Religion ,,1,amazon.com books,2015-11-10,,,191815,,,,
123221945,The Pursuit of God with Study Guide: The Human Thirst for the Divine,5,"Tozer, A. W.",Author,,,"Wingspread (2006), Edition: New Edition, 240 pages",2006,,,,,The Pursuit of God with Study Guide: The Human Thirst for the Divine by A. W. Tozer (2006),Paperback,240 p.; 5.25 inches,0.6 pounds,5.25 inches,8.25 inches,0.38 inches,5.25 x 0.38 x 8.25 inches,240 ,,,,,,,"Christianity, apologetics, christian hedonism, divine, holy",Your library,English,English,BV4817 .T6,[1600661068],"[1600661068, 9781600661068]",0,242,Christian practice and observance > Devotional Literature > Religion ,,1,amazon.com books,2015-11-10,,,23386,,,,
123222016,The Great Divorce,5,"Lewis, C. S.",Author,,,HarperOne (2000),2000,,4.5,,,The Great Divorce by C. S. Lewis (2000),Paperback,7.9 inches,0.05 pounds,7.9 inches,0.5 inches,5.2 inches,7.9 x 5.2 x 0.5 inches,,,,,,,,"Christianity, fiction, heaven",Your library,,English,BJ1401 .L4,,,Good and evil|Theology,236.2,After Death > Christianity > Eschatology; Death; Judgment > Religion ,,1,amazon.com books,2015-11-10,,,4926,,,,
123222024,A Spinoza Reader: The Ethics and Other Works,3,"Spinoza, Benedictus de",Author,"Curley, Edwin",Translator,"Princeton University Press (1994), Edition: First Edition, 280 pages",1994,,4.5,,,A Spinoza Reader: The Ethics and Other Works by Benedictus de Spinoza (1994),Paperback,280 p.; 9.25 inches,1 pound,9.25 inches,0.82 inches,6.13 inches,9.25 x 6.13 x 0.82 inches,280 ,,,,,,,"philosophy, metaphysics, rationalism, spinoza, ethics",Your library,English,English,B3958 .C87,[0691000670],"[0691000670, 9780691000671]",Ethics > Early works to 1800|Philosophy > Early works to 1800,199.492,Europe > Modern western philosophy > Netherlands > Other European Countries > Other Modern  > Philosophy and Psychology,,1,amazon.com books,2015-11-10,,,188797,,,,
123222040,Leibniz Selections,1,"Wiener, Philip P.",Author,,,Scribners (1951),1951,,,,,Leibniz Selections by Philip P. Wiener (1951),Hardcover,,,,,,,,,,,,,,"philosophy, metaphysics, rationalism",Your library,,,B2558 .W5,[1299907997],"[1299907997, 9781299907997]",,193.1,German > Leibniz; 1646-1716 > Modern western philosophy > Philosophy and Psychology,,1,amazon.com books,2015-11-10,,,163396,,,,
